Location,Latitude,Longitude,Position,Season,Cd,Cr,Hg,Ni,Pb,Zn,pH,OM,EC,CEC,Clay,Silt,Sand
SL01,8.544722222222221,-75.96305555555556,surface,dry,1.72,56.8,3.12,41,3.93,70.2,5.8,9.78,2.95,45,66.8,21.2,12
SL02,8.562777777777779,-75.96416666666667,surface,dry,0.85,47,2.23,45.2,4.52,62.6,5.6,9.22,2.89,48,56.6,32.4,11
SL03,8.58,-75.96861111111112,surface,dry,1.58,65.2,3.44,38.5,3.61,74.2,5.7,7.59,3.78,51,60.5,30.5,9
SL04,8.605,-75.96166666666667,surface,dry,1.94,55.7,2.55,52.9,5.75,61.1,6.3,9.74,2.66,39,62.3,28.7,9
SL05,8.607777777777777,-75.94833333333334,surface,dry,0.49,48.2,3.26,37.4,6.26,58.4,5.6,8.96,3.66,55,60.6,29.4,10
SL06,8.596666666666668,-75.9388888888889,surface,dry,1.25,50.2,1.14,49.1,4.44,59.7,5.6,7.68,3.54,58,59,30,11
SL07,8.614166666666666,-75.94083333333333,surface,dry,0.77,59.4,3.31,41.3,3.87,63.7,6.2,7.42,2.78,47,56.6,31.4,12
SL08,8.626666666666667,-75.93388888888889,surface,dry,1.55,50,2.62,48.6,6.62,55.1,6.5,8.24,2.67,60,61.3,28.7,10
SL09,8.633333333333333,-75.92750000000001,surface,dry,0.61,66.1,3.28,46.2,5.16,64.3,6.2,7.26,3.56,64,60.9,29.1,10
SL10,8.639999999999999,-75.91972222222223,surface,dry,1.33,70,1.15,38.1,2.28,71.2,5.8,8.54,2.98,55,66.5,32.5,11
SL11,8.648055555555555,-75.91611111111112,surface,dry,1.26,71,2.36,39.7,4.64,74.5,6.1,9.32,3.78,49,57.2,30.8,12
SL12,8.660555555555556,-75.92,surface,dry,1.48,33.5,1.59,50.5,3.81,38.2,5.7,9.03,3.61,50,55.9,34.1,10
SL13,8.674166666666666,-75.93305555555555,surface,dry,0.8,37.1,1.42,47.4,6.92,39.1,5.9,8.38,2.8,53,60.4,29.6,10
SL14,8.685,-75.94250000000001,surface,dry,0.91,40.1,3.01,44.2,5.25,45.7,6,7.24,2.94,53,59.2,29.8,11
SL15,8.700277777777776,-75.94611111111111,surface,dry,0.72,42.6,0.93,46.3,4.63,48.6,6.3,9.09,2.83,59,58.2,29.8,12
SL16,8.709444444444443,-75.93916666666667,surface,dry,1.45,51.3,3.34,39.6,3.49,55.2,6.9,9.16,3.41,64,56.9,31.1,12
SL17,8.721388888888889,-75.9413888888889,surface,dry,1.4,61.2,2.45,37.9,6.52,64.1,6.4,8.47,3.5,65,57.3,32.7,10
SL18,8.721666666666668,-75.93138888888889,surface,dry,0.93,54.1,3.55,35.2,4.84,59.6,6.7,7.52,2.88,61,60.5,28.5,11
SL19,8.725555555555555,-75.92222222222223,surface,dry,0.84,47.9,2.94,52.1,5.21,51.4,6.5,7.75,3.61,68,59.4,29.6,11
SL20,8.736944444444443,-75.92083333333333,surface,dry,0.69,69.1,2.46,54.6,7.62,67.2,5.8,8.84,3.51,68,60.3,28.7,11
SL21,8.73861111111111,-75.91000000000001,surface,dry,1.5,67.5,3.59,68.8,2.45,71.7,5.9,8.26,2.93,49,63.6,27.4,9
SL22,8.747777777777777,-75.90194444444445,surface,dry,0.7,62.8,2.71,55.1,3.28,66.2,5.7,7.18,3.41,52,55.9,32.1,12
SL23,8.747499999999999,-75.89194444444445,surface,dry,0.84,64.3,3.82,59.3,6.36,68.8,6.5,9.65,2.88,55,59.5,30.5,10
SL24,8.760833333333334,-75.88472222222222,surface,dry,0.92,62.5,2.14,64.8,4.62,60.9,5.7,8.81,3.51,56,63.2,26.8,10
SL25,8.7675,-75.87333333333332,surface,dry,1.57,64.8,2.25,72.5,2.91,64.1,5.7,7.82,3.5,51,59.8,29.2,11
SL01,8.544722222222221,-75.96305555555556,surface,rainy,0.93,35.1,2.78,29,3.25,52.2,7.9,6.43,2.74,38,66.8,21.2,12
SL02,8.562777777777779,-75.96416666666667,surface,rainy,0.82,41,2.05,32,4.23,58,7.8,5.95,2.69,35,56.6,32.4,11
SL03,8.58,-75.96861111111112,surface,rainy,1.25,58.2,3.12,25.2,3.35,61.3,6.9,6.64,1.92,41,60.5,30.5,9
SL04,8.605,-75.96166666666667,surface,rainy,1.08,52.5,2.04,44.6,4.54,53.4,7.7,5.82,2.87,44,62.3,28.7,9
SL05,8.607777777777777,-75.94833333333334,surface,rainy,0.49,44.4,3.1,32.2,5.38,55.9,8.2,5.84,3.01,32,60.6,29.4,10
SL06,8.596666666666668,-75.9388888888889,surface,rainy,1.18,47.3,1.09,25.4,4.16,51.4,7.9,6.7,2.49,32,59,30,11
SL07,8.614166666666666,-75.94083333333333,surface,rainy,0.62,52.9,3.02,47.2,3.31,48.7,7.8,6.54,1.8,36,56.6,31.4,12
SL08,8.626666666666667,-75.93388888888889,surface,rainy,0.94,45.1,2.01,38.7,5.63,49.2,8.1,5.95,1.98,35,61.3,28.7,10
SL09,8.633333333333333,-75.92750000000001,surface,rainy,0.55,60.7,2.78,39.2,4.55,48.3,8,5.96,2.82,40,60.9,29.1,10
SL10,8.639999999999999,-75.91972222222223,surface,rainy,0.96,57,0.95,34.9,3.14,32.6,7.4,6.71,2.64,40,66.5,32.5,11
SL11,8.648055555555555,-75.91611111111112,surface,rainy,1.21,64.2,1.24,46.6,4.08,61,8.1,6.5,1.93,37,57.2,30.8,12
SL12,8.660555555555556,-75.92,surface,rainy,0.95,28.5,1.12,48.2,3.18,25.4,7.7,5.88,2.08,39,55.9,34.1,10
SL13,8.674166666666666,-75.93305555555555,surface,rainy,0.77,22,1.04,42.5,5,26,7.9,6.35,2.52,41,60.4,29.6,10
SL14,8.685,-75.94250000000001,surface,rainy,0.7,35.4,2.65,31.4,5.97,40.3,7.8,5.9,2.56,39,59.2,29.8,11
SL15,8.700277777777776,-75.94611111111111,surface,rainy,0.53,38,0.47,40.2,4.4,41.5,8.1,6.06,1.74,35,58.2,29.8,12
SL16,8.709444444444443,-75.93916666666667,surface,rainy,0.96,44.3,2.95,43.3,3.1,49.4,8,5.85,1.62,41,56.9,31.1,12
SL17,8.721388888888889,-75.9413888888889,surface,rainy,1.3,56,1.47,30.6,5.62,60.9,7.9,5.87,2.23,32,57.3,32.7,10
SL18,8.721666666666668,-75.93138888888889,surface,rainy,0.78,51.8,3.03,32.2,4.68,51.1,8.2,6.64,2.31,44,60.5,28.5,11
SL19,8.725555555555555,-75.92222222222223,surface,rainy,0.64,49,2.04,40.4,4.12,47.3,8.3,5.91,2.3,43,59.4,29.6,11
SL20,8.736944444444443,-75.92083333333333,surface,rainy,0.55,64.7,2.33,52.8,6.38,61.7,8.3,5.82,2.74,41,60.3,28.7,11
SL21,8.73861111111111,-75.91000000000001,surface,rainy,0.87,71.9,2.87,55.9,2.37,59.6,7.8,5.85,2.58,32,63.6,27.4,9
SL22,8.747777777777777,-75.90194444444445,surface,rainy,0.61,58.2,1.14,48.1,3.01,58.9,7.5,6.14,2.06,38,55.9,32.1,12
SL23,8.747499999999999,-75.89194444444445,surface,rainy,0.79,60.4,2.36,53.2,5.29,61.1,8.2,6.5,1.91,40,59.5,30.5,10
