Location,LatDMS,LonDMS,Latitude,Longitude
SL01,8°32'41 N,75°57'47 W,8.544722222222221,-75.96305555555556
SL02,8°33'46 N,75°57'51 W,8.562777777777779,-75.96416666666667
SL03,8°34'48 N,75°58'07 W,8.58,-75.96861111111112
SL04,8°36'18 N,75°57'42 W,8.605,-75.96166666666667
SL05,8°36'28 N,75°56'54 W,8.607777777777777,-75.94833333333334
SL06,8°35'48 N,75°56'20 W,8.596666666666668,-75.9388888888889
SL07,8°36'51 N,75°56'27 W,8.614166666666666,-75.94083333333333
SL08,8°37'36 N,75°56'02 W,8.626666666666667,-75.93388888888889
SL09,8°38'00 N,75°55'39 W,8.633333333333333,-75.92750000000001
SL10,8°38'24 N,75°55'11 W,8.639999999999999,-75.91972222222223
SL11,8°38'53 N,75°54'58 W,8.648055555555555,-75.91611111111112
SL12,8°39'38 N,75°55'12 W,8.660555555555556,-75.92
SL13,8°40'27 N,75°55'59 W,8.674166666666666,-75.93305555555555
SL14,8°41'06 N,75°56'33 W,8.685,-75.94250000000001
SL15,8°42'01 N,75°56'46 W,8.700277777777776,-75.94611111111111
SL16,8°42'34 N,75°56'21 W,8.709444444444443,-75.93916666666667
SL17,8°43'17 N,75°56'29 W,8.721388888888889,-75.9413888888889
SL18,8°43'18 N,75°55'53 W,8.721666666666668,-75.93138888888889
SL19,8°43'32 N,75°55'20 W,8.725555555555555,-75.92222222222223
SL20,8°44'13 N,75°55'15 W,8.736944444444443,-75.92083333333333
SL21,8°44'19 N,75°54'36 W,8.73861111111111,-75.91000000000001
SL22,8°44'52 N,75°54'07 W,8.747777777777777,-75.90194444444445
SL23,8°44'51 N,75°53'31 W,8.747499999999999,-75.89194444444445
SL24,8°45'39 N,75°53'05 W,8.760833333333334,-75.88472222222222
SL25,8°46'03 N,75°52'24 W,8.7675,-75.87333333333332
